Name,Name_EN,Category,Ministry,Target_Group,Is_Online,Processing_Time,Fee,Online_URL,Contact_Info
"رخصة الاستغلال الفلاحي","Agricultural Exploitation License",AGRICULTURE,"Ministry of Agriculture","المزارعون والمستثمرون الفلاحيون",No,"30-60 يوم","5000-15000 دج","","مديرية الفلاحة المحلية"
"التحقق من رقمك الجبائي","Verify Your Tax Number",BUSINESS,"وزارة المالية","مواطنين, متعاملين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"الترقيم الجبائي","Tax Numbering",BUSINESS,"وزارة المالية","مواطنين, متعاملين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"التصريح الجبائي والدفع عن بعد jibayatic","Tax Declaration and Remote Payment - Jibayatic",BUSINESS,"وزارة المالية","مواطنين, متعاملين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"بوابة التصريح الجبائي والدفع عن بعد MOUSSAHAMA'TIC","Tax Declaration and Remote Payment Portal - MOUSSAHAMA'TIC",BUSINESS,"وزارة المالية","متعاملين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"تأسيس شركة عبر الإنترنت - فضاء المواطن","Online Company Establishment - Citizen Space",BUSINESS,"وزارة التجارة و ترقية الصادرات","مواطنين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"تسجيل حسابات الشركات عبر الإنترنت","Register Company Accounts Online",BUSINESS,"وزارة التجارة و ترقية الصادرات","متعاملين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"تسجيل عقود التأجير عبر الإنترنت","Register Rental Contracts Online",BUSINESS,"وزارة المالية","مواطنين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"حجز العنوان التجاري والاسم التجاري عبر الإنترنت - فضاء المواطن","Reserve Trade Address and Trade Name Online - Citizen Space",BUSINESS,"وزارة التجارة و ترقية الصادرات","مواطنين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"شهادات السجل التجاري","Commercial Register Certificates",BUSINESS,"Ministry of Commerce","مواطنين, متعاملين",Yes,"7-30 يوم","حسب التعريفة المعمول بها","https://sidjilcom.cnrc.dz","اتصل بالمكتب المختص"
"تحميل صورة بيومترية جديدة مطابقة للمعايير الدولية (إيكاو)","Upload New Biometric Photo Meeting International Standards (ICAO)",CIVIL_STATUS,"وزارة الداخلية والجماعات المحلية والتهيئة العمرانية","مواطنين",No,"غير محدد","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"تحميل صورة مطابقة","Upload Compliant Photo",CIVIL_STATUS,"وزارة الداخلية والجماعات المحلية والتهيئة العمرانية","مواطنين",No,"غير محدد","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"طلب الحصول على بطاقة التعريف الوطنية البيومترية الإلكترونية","Request for Electronic Biometric National ID Card",CIVIL_STATUS,"وزارة الداخلية والجماعات المحلية والتهيئة العمرانية","مواطنين",No,"غير محدد","200 دج","","اتصل بالمكتب المختص"
"طلب شهادة الكفاءة الخاصة برخصة السياقة للجالية الجزائرية المقيمة بالخارج","Request Driving License Competency Certificate for Algerian Diaspora",CIVIL_STATUS,"وزارة الداخلية والجماعات المحلية والتهيئة العمرانية","مواطنين",No,"غير محدد","3000-5000 دج","","اتصل بالمكتب المختص"
"طلب واصدار عقد الزواج عبر الأنترنت","Online Marriage Certificate Request and Issuance",CIVIL_STATUS,"وزارة الداخلية والجماعات المحلية والتهيئة العمرانية","مواطنين",No,"غير محدد","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"طلب وثائق الحالة المدنية عبر الأنترنت (شهادة الميلاد)","Online Civil Status Documents Request (Birth Certificate)",CIVIL_STATUS,"وزارة الداخلية والجماعات المحلية والتهيئة العمرانية","مواطنين",No,"غير محدد","100-500 دج","","اتصل بالمكتب المختص"
"طلب وثائق الحالة المدنية عبر الأنترنت (شهادة الوفاة)","Online Civil Status Documents Request (Death Certificate)",CIVIL_STATUS,"وزارة الداخلية والجماعات المحلية والتهيئة العمرانية","مواطنين",No,"غير محدد","100-500 دج","","اتصل بالمكتب المختص"
"قراءة بطاقة التعريف الوطنية البيومترية الإلكترونية","Read Electronic Biometric National ID Card",CIVIL_STATUS,"وزارة الداخلية والجماعات المحلية والتهيئة العمرانية","مواطنين",No,"غير محدد","200 دج","","اتصل بالمكتب المختص"
"متابعة طلب بطاقة التعريف الوطنية البيومترية الإلكترونية","Track Electronic Biometric National ID Card Application",CIVIL_STATUS,"وزارة الداخلية والجماعات المحلية والتهيئة العمرانية","مواطنين",No,"غير محدد","200 دج","","اتصل بالمكتب المختص"
"متابعة طلب جواز السفر البيومتري","Track Biometric Passport Application",CIVIL_STATUS,"وزارة الداخلية والجماعات المحلية والتهيئة العمرانية","مواطنين",No,"غير محدد","6000 دج","","اتصل بالمكتب المختص"
"متابعة طلب رخصة السياقة البيومترية","Track Biometric Driving License Application",CIVIL_STATUS,"وزارة الداخلية والجماعات المحلية والتهيئة العمرانية","مواطنين",No,"غير محدد","3000-5000 دج","","اتصل بالمكتب المختص"
"ترخيص النشاط الثقافي","Cultural Activity License",CULTURE,"Ministry of Culture","الجمعيات الثقافية والفنانون",No,"15-30 يوم","2000-10000 دج","","مديرية الثقافة المحلية"
"البوابة الوطنية للإشعار عن الأطروحات","National Portal for Thesis Notification",EDUCATION,"وزارة التعليم العالي و البحث العلمي","طلبة",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"التسجيل في شهادة البكالوريا","Registration for Baccalaureate Certificate",EDUCATION,"وزارة التربية الوطنية","طلبة",No,"3-7 أيام","100-500 دج","","اتصل بالمكتب المختص"
"بوابة حاملي البكالوريا الجدد","Portal for New Baccalaureate Holders",EDUCATION,"وزارة التعليم العالي و البحث العلمي","طلبة",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"بوابة مهنتي","My Profession Portal",EDUCATION,"وزارة التكوين والتعليم المهنيين","طلبة",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"(منحة ) التسجيل الأولى في جهاز منحة البطالة","Initial Registration in Unemployment Benefit System",EMPLOYMENT,"Ministry of Labor and Employment","مواطنين",Yes,"7-30 يوم","حسب التعريفة المعمول بها","https://manhaonline.anem.dz/","اتصل بالمكتب المختص"
"أرضية التوظيف","Employment Platform",EMPLOYMENT,"Ministry of Higher Education","مواطنين",Yes,"7-30 يوم","حسب التعريفة المعمول بها","https://progres.mesrs.dz/webrecrutement","اتصل بالمكتب المختص"
"احصائيات التشغيل- الوكالة الوطنية للتشغيل","Employment Statistics - National Employment Agency",EMPLOYMENT,"Ministry of Labor and Employment","مواطنين",Yes,"7-30 يوم","حسب التعريفة المعمول بها","https://www.anem.dz/","اتصل بالمكتب المختص"
"البحث عن عرض عمل","Search for Job Offers",EMPLOYMENT,"Ministry of Labor and Employment","مواطنين",Yes,"7-30 يوم","حسب التعريفة المعمول بها","https://wassitonline.anem.dz/","اتصل بالمكتب المختص"
"التسجيل عن بعد للطالبي العمل عبر منصة الوسيط اونلاين","Remote Registration for Job Seekers via Wasit Online Platform",EMPLOYMENT,"Ministry of Labor and Employment","مواطنين",Yes,"7-30 يوم","حسب التعريفة المعمول بها","https://wassitonline.anem.dz/","اتصل بالمكتب المختص"
"حجز موعد عبر منصة منحة البطالة (منحة )","Booking Appointment via Unemployment Benefit Platform",EMPLOYMENT,"Ministry of Labor and Employment","مواطنين",Yes,"7-30 يوم","حسب التعريفة المعمول بها","https://manhaonline.anem.dz/","اتصل بالمكتب المختص"
"فرصتي ( ترشح عن بعد في عرض عمل )","My Opportunity (Remote Job Application)",EMPLOYMENT,"Ministry of Labor and Employment","مواطنين",Yes,"7-30 يوم","حسب التعريفة المعمول بها","https://wassitonline.anem.dz/","اتصل بالمكتب المختص"
"مرجع المدونة الجزائرية للمهن و الوظائف","Reference of Algerian Code of Professions and Jobs",EMPLOYMENT,"Ministry of Labor and Employment","مواطنين",Yes,"7-30 يوم","حسب التعريفة المعمول بها","https://www.anem.dz/","اتصل بالمكتب المختص"
"طلب توصيل الكهرباء","Electricity Connection Request",ENERGY,"Ministry of Energy","أصحاب المنازل والمؤسسات",Yes,"15-45 يوم","10000-50000 دج حسب القدرة","https://www.sonelgaz.dz","وكالة سونلغاز المحلية"
"التأمين الصحي الوطني","National Health Insurance",HEALTH,"Ministry of Health","جميع المواطنين",No,"15-30 يوم","مجاني","","الهاتف: 021-123-456"
"إختيار الموقع عدل","AADL Location Selection",HOUSING,"Ministry of Housing and Urban Development","مواطنين",Yes,"7-30 يوم","حسب التعريفة المعمول بها","https://mo.aadl.com.dz/CHOIXDUSITE","اتصل بالمكتب المختص"
"التسجيل للحصول على سكن ترقوي حر","Registration for Free Promotional Housing",HOUSING,"وزارة السكن والعمران والمدينة","مواطنين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"بحث للمشاريع العقارية","Real Estate Projects Search",HOUSING,"وزارة السكن والعمران والمدينة","مواطنين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"تسجيل سكن ترقوي عمومي","Public Promotional Housing Registration",HOUSING,"وزارة السكن والعمران والمدينة","مواطنين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"تكملة الملفات عدل","AADL File Completion",HOUSING,"وزارة السكن والعمران والمدينة","مواطنين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"حالة ملف عدل","AADL File Status",HOUSING,"وزارة السكن والعمران والمدينة","مواطنين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"رخصة البناء الالكترونية","Electronic Building Permit",HOUSING,"وزارة السكن والعمران والمدينة","مواطنين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"طعون عدل","AADL Appeals",HOUSING,"وزارة السكن والعمران والمدينة","مواطنين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"مرجع أسعار العقار","Real Estate Price Reference",HOUSING,"وزارة السكن والعمران والمدينة","مواطنين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"موعد عدل","AADL Appointment",HOUSING,"وزارة السكن والعمران والمدينة","مواطنين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"رخصة النشاط الصناعي","Industrial Activity License",INDUSTRY,"Ministry of Industry","المستثمرون الصناعيون",No,"60-120 يوم","100000-500000 دج حسب حجم المشروع","","مديرية الصناعة المحلية"
"استخراج السجل العدلي","Criminal Record Extract",LAW_JUSTICE,"Ministry of Justice","جميع المواطنين",No,"1-3 أيام","200 دج","","كتابة ضبط المحكمة"
"حساب المتقاعد (عن بعد)","Retiree Account (Remote)",SOCIAL_SECURITY,"","مواطنين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"طلب بطاقة الشفاء للعمال","Request for Workers' Health Card",SOCIAL_SECURITY,"","مواطنين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"المنحة الجامعية","University Scholarship",SOCIAL_SUPPORT,"Ministry of Higher Education","الطلاب الجامعيون",Yes,"30-60 يوم","مجاني","https://www.ons.dz","مصالح المنح الجامعية"
"خدمة احتضان الشركات الناشئة في مجال تكنولوجيا المعلومات والاتصالات","Startup Incubation Service in ICT",TECHNOLOGY,"وزارة الرقمنة والإحصائيات","متعاملين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"خدمة الدّفع عن طريق الهاتف النقّال بريد باي","Mobile Payment Service Barid Pay",TECHNOLOGY,"","مواطنين",No,"7-30 يوم","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
"ترخيص وكالة السياحة","Tourism Agency License",TOURISM,"Ministry of Tourism","المستثمرون في القطاع السياحي",No,"45-90 يوم","50000-100000 دج","","مديرية السياحة المحلية"
"إصدار وثيقة إدارية عن بعد","Remote Administrative Document Issuance",TRANSPORTATION,"وزارة الأشغال العمومية والمنشآت القاعدية","مواطنين, متعاملين",Yes,"1-3 أيام","حسب التعريفة المعمول بها","https://portail.mtpt.gov.dz/service.php?id=8&lg=ar","اتصل بالمكتب المختص"
"شهادة التأهيل والتصنيف المهنيين","Professional Qualification and Classification Certificate",TRANSPORTATION,"وزارة الأشغال العمومية والمنشآت القاعدية","متعاملين",No,"غير محدد","100-500 دج","","اتصل بالمكتب المختص"
"منح رخصة شبكة الطرق","Road Network License Grant",TRANSPORTATION,"وزارة الأشغال العمومية والمنشآت القاعدية","متعاملين",No,"غير محدد","حسب التعريفة المعمول بها","","اتصل بالمكتب المختص"
